line	fine_domain	super_domain	contested_claim	affirmed_by	denied_by	contested_source_urls	contested_rationale	consensual_claim	consensual_source_urls	consensual_rationale	author_provenance
43	behavioral_genetics	life_sciences	Genetic differences explain most adult variation in measured intelligence.	Plomin-line adult intelligence heritability researchers	Turkheimer-line malleability and heritability critics	https://pmc.ncbi.nlm.nih.gov/articles/PMC4270739/|https://pmc.ncbi.nlm.nih.gov/articles/PMC5754247/	The adult heritability review reports high genetic variance estimates; the paired review explains why heritability does not settle malleability or mechanism.	Identical twins share nearly all of their nuclear DNA.	https://www.genome.gov/genetics-glossary/identical-twins	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
44	epidemiology	medicine_health	Moderate alcohol consumption provides no health benefit at any dose.	"Mendelian-randomization / GBD 2018 (""no safe level"")"	J-curve epidemiologists (older cardioprotection studies)	https://pubmed.ncbi.nlm.nih.gov/30146330/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Random allocation does not guarantee identical trial groups.	https://pmc.ncbi.nlm.nih.gov/articles/PMC2844943/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
45	microbiome	life_sciences	The gut microbiome causally shapes human mood and behavior.	gut-brain-axis researchers (Cryan & Dinan)	skeptics of causal human evidence (methodological critics)	https://www.nature.com/articles/s41575-023-00817-x	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	The human gut hosts trillions of bacterial cells.	https://www.ncbi.nlm.nih.gov/books/NBK562894/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
46	astrobiology	physical_climate	The absence of alien signals indicates rarity of intelligent life.	rare-Earth / Fermi-pessimists (great-filter, Hanson)	SETI optimists (Drake-line)	https://arxiv.org/abs/1806.02404	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Every documented life form requires liquid water for survival.	https://astrobiology.nasa.gov/education/alp/water-so-important-for-life/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
47	physics	physical_climate	Quantum mechanics requires abandoning the idea of a single definite outcome.	Everettian many-worlds (Deutsch; Wallace)	single-outcome interpretations (Copenhagen; Bohm; GRW)	https://plato.stanford.edu/entries/qm-manyworlds/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Entropy in an isolated system remains nondecreasing over time.	https://openstax.org/books/physics/pages/12-3-second-law-of-thermodynamics-entropy	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
48	epidemiology	medicine_health	Observational nutrition studies reliably identify causal effects of individual foods.	Ioannidis-line nutritional epidemiology critics	Willett-line causal nutrition epidemiologists	https://pubmed.ncbi.nlm.nih.gov/30422271/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Randomized controlled trials assign participants to treatment groups by chance.	https://www.ncbi.nlm.nih.gov/books/NBK305518/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
49	physics	physical_climate	The fine-structure constant has varied over cosmic history.	Webb & Murphy (quasar-absorption variation claims)	null-result high-resolution spectroscopy teams	https://arxiv.org/abs/1008.3907	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Electric current flows when charge carriers move along a conductor.	https://openstax.org/books/university-physics-volume-2/pages/9-2-model-of-conduction-in-metals	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
50	physics	physical_climate	Black holes preserve swallowed information rather than destroy it.	information-preservation (Susskind; islands / holography)	information-loss holdouts (historical Hawking-line)	https://arxiv.org/abs/2207.08671	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Blue-light photon energy exceeds red-light photon energy.	https://science.nasa.gov/ems/09_visiblelight/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
51	cosmology	physical_climate	The Hubble tension reflects new physics rather than measurement error.	SH0ES and new-physics Hubble-tension interpreters	Freedman-line distance-ladder systematics interpreters	https://arxiv.org/abs/2112.04510|https://arxiv.org/abs/2106.15656	Riess-line analyses motivate new physics, while Freedman's independent distance ladder finds no statistically significant discrepancy requiring it.	Milky Way star counts exceed Solar System star counts.	https://science.nasa.gov/universe/stars/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
52	physics	physical_climate	Spin fluctuations provide the primary pairing mechanism in cuprate superconductors.	spin-fluctuation pairing theorists	phonon and alternative-mechanism cuprate researchers	https://doi.org/10.1103/RevModPhys.84.1383	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Objects in free fall accelerate at the same rate regardless of mass.	https://www1.grc.nasa.gov/beginners-guide-to-aeronautics/motion-of-free-falling-object/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
53	genomics	life_sciences	Most human non-coding DNA serves functions rather than remaining evolutionary residue.	ENCODE consortium (Birney)	"Graur-line (""junk DNA"" defenders)"	https://www.pnas.org/doi/10.1073/pnas.1318948111	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Most human chromosomes exceed chromosome twenty-one in physical length.	https://www.ncbi.nlm.nih.gov/grc/human	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
54	genetics	life_sciences	Common genetic variants explain a large share of missing heritability for complex traits.	common-variant and GCTA heritability researchers	rare-variant and interaction-based missing-heritability researchers	https://www.nature.com/articles/nature08494	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Offspring inherit one copy of each chromosome from each parent.	https://www.genome.gov/about-genomics/fact-sheets/Chromosomes-Fact-Sheet	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
55	neuroscience	life_sciences	The adult human brain generates new neurons throughout life.	Boldrini; Spalding (lifelong adult neurogenesis)	Sorrells et al. 2018 (no adult neurogenesis)	https://pubmed.ncbi.nlm.nih.gov/29513649/|https://doi.org/10.1016/j.stem.2018.03.015	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	The cerebellum contributes to the coordination of voluntary movement.	https://www.ncbi.nlm.nih.gov/books/NBK538167/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
56	evolution	life_sciences	Group selection strongly shapes cooperation among human populations.	multilevel-selection (D. S. Wilson; E. O. Wilson late)	gene-selectionists (Dawkins; Pinker; Coyne)	https://www.nature.com/articles/nature09205	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Natural selection favours heritable traits associated with reproductive success.	https://evolution.berkeley.edu/evolution-101/mechanisms-the-processes-of-evolution/natural-selection/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
57	biology	life_sciences	Viruses originated earlier than the last universal common cellular ancestor.	virus-first origin theorists	escape and reductive-origin theorists	https://pmc.ncbi.nlm.nih.gov/articles/PMC4609113/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Ostrich eggs exceed chicken eggs in mass.	https://www.usda.gov/about-usda/news/blog/ostrich-eggs-biggest-eggs-world	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
58	linguistics	mind_language_society	A person's language detectably shapes color perception.	neo-Whorfian relativists (Winawer; Lupyan)	color universalists (Berlin & Kay-line)	https://www.pnas.org/doi/10.1073/pnas.0701644104	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Spoken languages organize speech using consonant and vowel categories.	https://www.cambridge.org/core/books/cambridge-handbook-of-phonetics/vowels/4CDDAAD44273658D9C25C66C39D7F313	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
59	linguistics	mind_language_society	Human grammar rests on an innate faculty rather than general learning.	generativists / universal grammar (Chomsky)	usage-based emergentists (Tomasello; Christiansen & Chater)	https://doi.org/10.1017/S0140525X09990744	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Standard British English exceeds standard Spanish in vowel-phoneme count.	https://www.cambridge.org/core/books/cambridge-handbook-of-phonetics/vowels/4CDDAAD44273658D9C25C66C39D7F313	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
60	linguistics	mind_language_society	Neanderthal vocal anatomy supported speech equivalent to modern human speech.	continuity paleoanthropologists	language-uniqueness paleoanthropologists	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00397/full	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Languages change over generations in pronunciation and vocabulary.	https://www.linguisticsociety.org/resource/language-change	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
61	ai_safety	ai_computing	Autoregressive transformers learn causally useful internal world models.	world-model interpretability researchers	behavioral and representation-skeptic researchers	https://arxiv.org/abs/2210.13382	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Machine learning safety evaluations test models for harmful capabilities and risky behavior.	https://www.gov.uk/government/publications/ai-safety-institute-approach-to-evaluations/ai-safety-institute-approach-to-evaluations	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
62	ai	ai_computing	Text form alone supports linguistic meaning learning independent of sensory grounding.	distributional-semantics optimists (Piantadosi & Hill)	"Bender & Koller (""octopus""); symbol-grounding (Harnad); Bisk et al. (""Experience Grounds Language"")"	https://aclanthology.org/2020.acl-main.463/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Backpropagation computes gradients for multilayer network training.	https://www.deeplearningbook.org/contents/mlp.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
63	ai	ai_computing	In-context learning retrieves memorized patterns rather than learning new rules.	associative-retrieval and memorization accounts of ICL	Bayesian-inference and meta-learning accounts of ICL	https://arxiv.org/abs/2408.11546|https://openreview.net/forum?id=Zup6F3MwQO	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Beam-search continuation counts exceed greedy-decoding counts.	https://web.stanford.edu/class/archive/cs/cs224n/cs224n.1194/readings/cs224n-2019-notes06-NMT_seq2seq_attention.pdf	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
64	psychology	mind_language_society	Heavy online-platform use poses a material risk for adolescent depression.	Twenge and high-exposure risk researchers	Odgers and small-or-confounded-effect reviewers	https://pubmed.ncbi.nlm.nih.gov/31509167/|https://pubmed.ncbi.nlm.nih.gov/31951670/	A high-exposure adolescent study reports elevated internalizing risk; Odgers and Jensen review mixed, mostly correlational evidence and small effects.	Human colour vision depends on three types of retinal cone cells.	https://www.nei.nih.gov/learn-about-eye-health/healthy-vision/how-eyes-work	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
65	ai	ai_computing	Language-model safety fine-tuning degrades general capability performance.	safety-tax researchers	alignment-method researchers reporting preserved or improved capabilities	https://arxiv.org/abs/2503.00555	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Autoregressive language models predict tokens from preceding context.	https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
66	ai	ai_computing	Metric choice creates apparent emergent abilities in large language models.	Schaeffer, Miranda & Koyejo 2023 (mirage)	Wei et al. (emergent abilities)	https://arxiv.org/abs/2304.15004	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	A softmax function yields a probability distribution from real-valued scores.	https://www.deeplearningbook.org/contents/mlp.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
67	ai	ai_computing	Systematic compositional generalization requires explicit symbolic structure.	neurosymbolic systematicity researchers	pure-connectionist scaling researchers	https://proceedings.mlr.press/v80/lake18a.html	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Embeddings represent discrete symbols as vectors in a continuous space.	https://arxiv.org/abs/1301.3781	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
68	privacy	ai_computing	Differential privacy preserves useful aggregate statistics under realistic privacy budgets.	differential-privacy deployment proponents	privacy-budget utility-tradeoff researchers	https://petsymposium.org/popets/2022/popets-2022-0058.pdf	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Encryption restricts intercepted-message reading to decryption-key holders.	https://csrc.nist.gov/projects/cryptographic-standards-and-guidelines	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
69	ai	ai_computing	Transformer parameter scaling yields systematic compositional generalization in language models.	scale-to-compositionality researchers	architecture and structural-bias researchers	https://aclanthology.org/2024.naacl-long.402/|https://openreview.net/forum?id=hZt0daVIZi	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Convolutional networks reuse learned filters at multiple spatial positions.	https://cs231n.github.io/convolutional-networks/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
70	ai	ai_computing	Chain-of-thought prompting performs additional internal computation during generated rationales.	chain-of-thought intermediate-computation proponents	elicitation and post-hoc-rationale skeptics	https://arxiv.org/abs/2201.11903|https://arxiv.org/abs/2305.04388	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Finite-precision arithmetic often requires rounding real-number results.	https://dl.acm.org/doi/10.1145/103162.103163	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
71	ai	ai_computing	Retrieval augmentation produces fewer factual errors than equivalent parameter scaling.	retrieval-augmentation proponents	parametric-scaling and long-context proponents	https://arxiv.org/abs/2005.11401	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Repeated-batch network training exceeds one-pass inference in computational cost.	https://arxiv.org/abs/2001.08361	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
72	ai	ai_computing	Model capability still scales predictably with additional training data.	scaling-laws (Kaplan; Hoffmann / Chinchilla)	diminishing-returns / plateau skeptics	https://arxiv.org/abs/2001.08361	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Graphics processors accelerate training using parallel matrix operations.	https://docs.nvidia.com/deeplearning/performance/dl-performance-gpu-background/index.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
73	ai	ai_computing	Chain-of-thought traces faithfully reflect a model's actual computation.	chain-of-thought-as-reasoning proponents	faithfulness critics (Turpin et al. 2023; Lanham)	https://arxiv.org/abs/2305.04388	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Overfitting harms a model's performance on unseen data.	https://scikit-learn.org/stable/auto_examples/model_selection/plot_underfitting_overfitting.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
74	ai	ai_computing	Synthetic training data degrades model quality over successive generations.	model-collapse researchers (Shumailov et al. 2024)	accumulation / curation optimists (Gerstgrasser et al.)	https://www.nature.com/articles/s41586-024-07566-y	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Cross-validation estimates performance by holding out parts of the data.	https://scikit-learn.org/stable/modules/cross_validation.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
75	ai	ai_computing	Mixture-of-experts outperform dense models at equal compute.	MoE proponents (Fedus, Zoph & Shazeer)	dense-scaling proponents / MoE-cost skeptics	https://www.jmlr.org/papers/v23/21-0998.html	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Large neural networks typically exceed matched small networks in parameter count.	https://arxiv.org/abs/2001.08361	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
76	ai	ai_computing	Language-model safety alignment suppresses outputs rather than removing harmful capabilities.	shallow-alignment and compliance accounts	capability-removal and unlearning proponents	https://arxiv.org/abs/2310.03693	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Eight-bit weights outperform thirty-two-bit weights in memory efficiency.	https://huggingface.co/docs/transformers/main/en/quantization/overview	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
77	economics	econ_policy	Carbon taxes outperform permit trading at cutting emissions.	carbon-tax economists (Nordhaus-line; Pigouvian)	cap-and-trade proponents (some environmental economists)	https://www.nber.org/papers/w19338	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	High interest rates impose greater total borrowing costs.	https://www.ecb.europa.eu/ecb-and-you/explainers/tell-me-more/html/interest_rates.en.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
78	economics	econ_policy	National carbon pricing lowered emissions while preserving GDP growth.	causal carbon-pricing evaluation teams	confounding and policy-bundle critics	https://www.nature.com/articles/s41467-020-18970-5	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Hyperinflation rapidly erodes the purchasing power of money.	https://www.imf.org/external/pubs/ft/fandd/basics/inflation.htm	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
79	energy	physical_climate	Retiring existing nuclear plants elevates power-sector carbon emissions.	nuclear-retention climate analysts	renewable-substitution system modelers	https://www.nber.org/papers/w26598	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Hydroelectric dams generate power from the movement of falling water.	https://www.energy.gov/eere/water/hydropower-basics	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
80	climate	physical_climate	Carbon offsets mostly fail to deliver the reductions they promise.	offset critics (West et al.; Verra-critique scholarship)	carbon-offset-market defenders	https://www.science.org/doi/10.1126/science.ade3535	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Carbon dioxide absorbs and re-emits infrared radiation in the atmosphere.	https://science.nasa.gov/climate-change/faq/what-is-the-greenhouse-effect/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
81	climate	physical_climate	Demand-side measures deliver large emissions cuts alongside preserved human well-being.	Creutzig-line demand-side mitigation researchers	behavioral-effect heterogeneity critics	https://www.nature.com/articles/s41558-021-01219-y|https://journals.sagepub.com/doi/10.1177/23727322241275147	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Instrument records show global average surface temperatures have risen since the industrial era.	https://science.nasa.gov/climate-change/evidence/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
82	agriculture	life_sciences	Herbicide-tolerant crops lessen total pesticide toxicity.	GM crop pesticide-toxicity meta-analysts	resistance and ecological-impact researchers	https://doi.org/10.1371/journal.pone.0111629	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Crop rotation helps maintain the fertility of farmland soil.	https://www.nrcs.usda.gov/resources/education-and-teaching-materials/soil-health	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
83	climate	physical_climate	Climate models underestimate positive cloud feedbacks from changing tropical circulation.	Hill-line dynamic-cloud-feedback researchers	component-specific observational evaluation teams	https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2023GL104573|https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2023JD039427	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Burning fossil fuels releases carbon dioxide to the atmosphere.	https://www.epa.gov/ghgemissions/sources-greenhouse-gas-emissions	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
84	environment	life_sciences	Chemical recycling of plastic yields net lifecycle environmental benefits.	chemical-recycling lifecycle proponents	energy-intensity and material-yield critics	https://research.manchester.ac.uk/en/publications/life-cycle-environmental-impacts-of-chemical-recycling-via-pyroly/|https://pubs.acs.org/doi/10.1021/acssuschemeng.2c00265	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Plastic waste decomposes very slowly in the natural environment.	https://www.unep.org/interactives/beat-plastic-pollution/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
85	climate	physical_climate	Observed warming since 1970 implies low equilibrium climate sensitivity.	low-sensitivity observational estimators	IPCC-range and model-evaluation researchers	https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019GL085378	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Melting land ice contributes to global mean sea-level rise.	https://science.nasa.gov/climate-change/evidence/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
86	geoengineering	physical_climate	Ocean iron fertilization would sequester carbon at a meaningful scale.	ocean iron-fertilization proponents	OIF efficacy skeptics (most ocean scientists)	https://www.nationalacademies.org/read/26278/chapter/5	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Stratospheric aerosol injection can substantially alter regional precipitation patterns.	https://www.nationalacademies.org/read/25762/chapter/6	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
